date,med_b,q5_b,q95_b,type,now,delay,weekday
2021-03-05,-0.3374965,-1.16003425,0.4315785250000002,mod_b,2021-03-05,0,6
2021-03-09,-0.4427295,-1.2673252499999998,0.4268325000000001,mod_b,2021-03-09,0,3
2021-03-10,-0.6274595000000001,-1.49457875,0.32296277500000026,mod_b,2021-03-10,0,4
2021-03-11,-0.522602,-1.50232225,0.5198183750000005,mod_b,2021-03-11,0,5
2021-03-12,-0.5915159999999999,-1.86817675,0.7860660000000007,mod_b,2021-03-12,0,6
2021-03-16,-0.147853,-1.644767,1.5597240000000003,mod_b,2021-03-16,0,3
2021-03-17,0.0729559,-1.41780975,1.7034775000000004,mod_b,2021-03-17,0,4
2021-03-18,0.48003799999999996,-1.0504609999999999,2.2960777500000003,mod_b,2021-03-18,0,5
2021-03-19,1.48269,-0.24258359999999998,3.3626805,mod_b,2021-03-19,0,6
2021-03-23,2.5857799999999997,0.7986593,4.37925975,mod_b,2021-03-23,0,3
2021-03-24,3.35501,1.531547,5.07107975,mod_b,2021-03-24,0,4
2021-03-25,4.091365,2.2844075000000004,5.8087825,mod_b,2021-03-25,0,5
2021-03-26,4.841185,3.16009625,6.47643175,mod_b,2021-03-26,0,6
2021-03-30,4.914585,3.2037385,6.46414475,mod_b,2021-03-30,0,3
2021-03-31,5.266375,3.700178,6.726481,mod_b,2021-03-31,0,4
2021-04-01,5.212745,3.8694225,6.52130975,mod_b,2021-04-01,0,5
2021-04-06,5.333215,4.1036165,6.5251987499999995,mod_b,2021-04-06,0,3
2021-04-07,4.69103,3.41829825,5.8961695,mod_b,2021-04-07,0,4
2021-04-08,3.90433,2.42416525,5.317392750000001,mod_b,2021-04-08,0,5
2021-04-09,4.064955,2.60145125,5.438886749999999,mod_b,2021-04-09,0,6
2021-04-13,3.80439,2.4291720000000003,5.145991250000001,mod_b,2021-04-13,0,3
2021-04-14,3.555935,2.1809242500000003,4.824509,mod_b,2021-04-14,0,4
2021-04-15,3.11791,1.7759734999999999,4.430955249999999,mod_b,2021-04-15,0,5
2021-04-16,2.3481699999999996,1.0786145000000003,3.6269057500000006,mod_b,2021-04-16,0,6
2021-04-20,2.488915,1.2517185,3.6679835000000005,mod_b,2021-04-20,0,3
2021-04-21,2.396585,1.196219,3.5115499999999997,mod_b,2021-04-21,0,4
2021-04-22,2.074955,0.7670913250000001,3.32915075,mod_b,2021-04-22,0,5
2021-04-23,2.5737,1.34933725,3.76762575,mod_b,2021-04-23,0,6
2021-04-27,2.8813000000000004,1.682235,3.9821514999999996,mod_b,2021-04-27,0,3
