date,med_b,q5_b,q95_b,type,now,delay,weekday
2021-04-01,-0.27729349999999997,-0.8891316,0.3724279,mod_b,2021-04-01,0,5
2021-04-06,-0.566534,-1.14637275,0.041565427500000196,mod_b,2021-04-06,0,3
2021-04-07,-0.59353,-1.1593814999999998,0.011100480000000036,mod_b,2021-04-07,0,4
2021-04-08,-0.7238935,-1.24640025,-0.16556489999999996,mod_b,2021-04-08,0,5
2021-04-09,-0.7325440000000001,-1.1926240000000001,-0.25111812499999975,mod_b,2021-04-09,0,6
2021-04-13,-0.7910855,-1.20657175,-0.3611077999999998,mod_b,2021-04-13,0,3
2021-04-14,-0.55833,-0.9881517249999999,-0.11137084999999992,mod_b,2021-04-14,0,4
2021-04-15,-0.3032665,-0.788517475,0.2110323250000001,mod_b,2021-04-15,0,5
2021-04-16,-0.361413,-0.8351354999999999,0.13390477500000036,mod_b,2021-04-16,0,6
2021-04-20,-0.276695,-0.727391225,0.20163640000000005,mod_b,2021-04-20,0,3
2021-04-21,-0.188334,-0.61964825,0.27977295,mod_b,2021-04-21,0,4
2021-04-22,-0.04316325,-0.48242047499999996,0.4172644000000001,mod_b,2021-04-22,0,5
2021-04-23,0.21166800000000002,-0.215289,0.635489925,mod_b,2021-04-23,0,6
2021-04-27,0.1657005,-0.22089847499999996,0.5737805750000001,mod_b,2021-04-27,0,3
2021-04-28,0.195838,-0.17630215000000002,0.5902436000000002,mod_b,2021-04-28,0,4
2021-04-29,0.2982285,-0.109013425,0.717641525,mod_b,2021-04-29,0,5
2021-04-30,0.1194135,-0.26535092500000007,0.5126447750000002,mod_b,2021-04-30,0,6
2021-05-04,0.01547565,-0.33160154999999997,0.40144917500000005,mod_b,2021-05-04,0,3
2021-05-05,0.11605599999999999,-0.2343746,0.482033975,mod_b,2021-05-05,0,4
2021-05-06,0.3686895,0.005865362750000005,0.7464254250000001,mod_b,2021-05-06,0,5
2021-05-07,0.32826750000000005,-0.03675556749999999,0.7260551000000001,mod_b,2021-05-07,0,6
2021-05-11,0.1351405,-0.236102775,0.5200116750000001,mod_b,2021-05-11,0,3
2021-05-12,0.24559150000000002,-0.1160975,0.63267465,mod_b,2021-05-12,0,4
2021-05-14,0.251245,-0.13155425,0.66450685,mod_b,2021-05-14,0,6
2021-05-18,0.25336749999999997,-0.101006425,0.631275025,mod_b,2021-05-18,0,3
2021-05-19,0.205618,-0.17434552499999997,0.5907314250000002,mod_b,2021-05-19,0,4
2021-05-20,0.16986,-0.21350334999999998,0.5682135500000002,mod_b,2021-05-20,0,5
2021-05-21,0.2207355,-0.217130575,0.650243075,mod_b,2021-05-21,0,6
2021-05-25,0.184623,-0.25818225000000006,0.6339262000000001,mod_b,2021-05-25,0,3
2021-05-26,0.2271735,-0.23385922499999998,0.6972594500000002,mod_b,2021-05-26,0,4
2021-05-27,0.2067095,-0.30191835,0.7143229249999999,mod_b,2021-05-27,0,5
2021-06-03,0.222184,-0.2792708,0.7238517250000001,mod_b,2021-06-03,0,5
2021-06-04,0.455748,-0.05048933999999999,0.990468125,mod_b,2021-06-04,0,6
2021-06-08,0.634091,0.12817245,1.1446960000000002,mod_b,2021-06-08,0,3
2021-06-09,0.2732405,-0.23078984999999996,0.7871093250000002,mod_b,2021-06-09,0,4
2021-06-10,0.48399800000000004,0.0477742175,0.9087955750000001,mod_b,2021-06-10,0,5
2021-06-11,0.6087345,0.19904950000000002,1.02853125,mod_b,2021-06-11,0,6
