date,med_a,q5_a,q95_a,med_b,q5_b,q95_b,med_b_c,q5_b_c,q95_b_c,med_c,q5_c,q95_c,med_d,q5_d,q95_d,med_d_c,q5_d_c,q95_d_c,med_e,q5_e,q95_e,n_true_retro,err_a_7,err_b_7,err_d_7,log_a_7,log_b_7,log_d_7,crps_a_7,crps_b_7,crps_d_7
2020-11-24,61,25,145,46,27,75,39,22,63,132,55,302,65,29,144,72,30,162,67,28,150.0250000000001,69,5.142857142857143,8.142857142857142,4.714285714285714,3.8093666041443965,3.8067730685244507,3.735488294012964,5.010368178571428,5.948683482142857,4.7421428035714275
2020-11-25,40,16,95,45,24,74,37,20,61,55,21,126,44,19,94,46,18,106,44,18,98,70,17.714285714285715,14.714285714285714,16.571428571428573,4.421133622779994,4.358586825728672,4.365020649881368,11.025528625,9.900877098214286,10.316925642857143
2020-11-26,47,19.97500000000001,112,51,29,82,42,23,68,69,31,141,52,23,109,54,23,118,53,23,110,61,12.428571428571429,11.714285714285714,10.428571428571429,4.065702891750943,3.99760017200418,3.90393606815215,7.5408359375,7.421529848214286,6.258399187499999
2020-11-27,41,17,90,49,28,78,43,24,68,102,45,225,47,20,90,47,19,99.02500000000009,46,20,90,65,18.428571428571427,15.142857142857142,16.428571428571427,4.686554663765042,4.487289869449861,4.52517919286687,12.404703839285714,10.282454044642858,10.97492842857143
2020-12-01,85,34,215,73,45,113,54,32,85,304,130.97500000000002,757.2000000000007,95,45,199,101,41,234.05000000000018,104,47,235.05000000000018,68,25.571428571428573,14.571428571428571,29.142857142857142,4.614681669338579,4.231807919352453,4.779379306820386,17.161100901785712,10.242718357142856,19.4454594375
2020-12-02,64,25,149,66,41,100,55,33,86,190,89,373.0250000000001,79,37,151,74,33,156,81,37,160,71,14.714285714285714,11.285714285714286,17.428571428571427,4.366766624566294,4.120971351629773,4.489995387844786,10.968183982142856,8.658471375,12.672013089285713
2020-12-03,50,19,116,62,37,97,54,30,86,166,78,353,61,25,127,57,23,125,61,27,127.02500000000009,77,13.285714285714286,8.142857142857142,10,4.13738463406797,3.7860689393205136,3.9771596963834273,8.585807080357142,5.700993294642856,6.534092651785714
2020-12-04,45,18,105,63,36,99,54,31,88,120,50,263.0250000000001,54,24,109.02500000000009,50,21,107,52,22,105,71,17.714285714285715,8.428571428571429,13.142857142857142,4.366524028813764,3.7471263432991564,4.129202838603604,11.133196151785715,5.50017625,8.362282464285714
2020-12-08,53,22,118,51,30,80,54,31,85,84,42,161,55,26,116,55,24,116,55,25,107,54,15,13,13.857142857142858,4.436793512577859,4.134283546706211,4.3119766144723695,10.200230187499999,8.4887495,9.416922491071428
2020-12-09,46,19,101.02500000000009,56,34,88,53,30,84,84,43,156,50,23,95,51,22,102,50,23,95,76,19.571428571428573,13.857142857142858,17,4.827354154922781,4.331510809670584,4.639745881281993,13.744999017857143,9.487243875,12.091323169642859
2020-12-10,45,18,99,53,30,84,55,32,89,74,37,135,41,1,87,48,22,96,47,22,88,86,23.571428571428573,16.142857142857142,26.142857142857142,5.237456040714859,4.569112654974003,5.263533889412684,16.880202875000002,11.758346464285715,19.251259017857144
2020-12-11,65,28,136,50,29.97500000000001,78,65,38,102,82,46,134,67,34.97500000000001,117,69,32,129,66,37,109,89,12.428571428571429,15.214285714285714,11.714285714285714,3.9833102420078665,4.3352656690155795,3.913387869882648,7.406214044642857,10.762735544642858,7.0027865625
2020-12-15,157,67.97500000000001,360,59,37,88.02500000000009,78,47,124,96,59,152,105,57,207,140,70,293,109,60,224,88,66.42857142857143,12.285714285714286,26.714285714285715,5.9066434262608665,4.303351327849485,4.70891022773879,46.887978357142856,9.802077919642857,18.03702977678571
2020-12-16,83,39.97500000000001,169,59,36,89,73,44.97500000000001,114,84,52.97500000000001,129,75,45,121,84,46,144.0250000000001,74,44.97500000000001,120,102,9.142857142857142,21.214285714285715,10.428571428571429,4.1267217098955316,5.047400278409091,4.034590542724403,7.177697982142856,15.662573758928572,7.3876876339285715
2020-12-17,88,43,170.0250000000001,63,39,95,73,44,114,83,51.97500000000001,130,75,44,126,81,47,137,76,45,124,118,9.857142857142858,25.285714285714285,15,4.137866813824781,5.46552175983066,4.262306139130794,7.558722241071428,19.098463446428575,10.574111955357143
2020-12-18,73,36,140.0250000000001,62,37,95,73,44,115,84,50,132,69,39,109,75,43,124,69,41.97500000000001,112,73,15.285714285714286,23.714285714285715,18.857142857142858,4.33820891033292,5.334015240751755,4.674650798335252,11.102209437499999,17.85749224107143,13.889971303571429
2020-12-22,85,42,165,65,40,97,81,51,123,97,59,152,72,45,118,78,46,132,73,43,119,93,10.857142857142858,21.571428571428573,16.428571428571427,4.241876543470951,5.088558605154434,4.502731234402247,8.184344526785713,15.721718339285715,11.4558438125
2020-12-23,58,29,106,62,39,92,78,48,119,83,48,134,64,37,99,67,39,107,63,37,101,87,30.714285714285715,28.142857142857142,28,5.952579225897924,7.993997876989191,5.934665774771682,22.548733455357144,21.797484776785716,20.9370386875
2020-12-29,88,46,157,59,34,96,55,29,94,97,56,161,78,46,129,84,50,138,83,50,147,73,15.714285714285714,33.57142857142857,17.714285714285715,4.395672588128117,5.835998087753734,4.48709843708135,10.281365482142856,24.782679125,11.843121276785714
2020-12-30,92,49,170.0250000000001,78,46,123,66,37,106,107,61,174,87,52,143,96,57,158,92,55,155,90,10.857142857142858,19.857142857142858,12.428571428571429,4.25070070429902,4.841644821388643,4.215626145833069,8.358382705357142,14.644579375000001,8.635717366071429
2021-01-05,55,25,104,82,44,138,68,37,119,94,59,145,80,42,131.0250000000001,77,42,125,75,37.97500000000001,125,93,34.285714285714285,8,17.928571428571427,5.496219766139872,4.1895388515148495,4.4660611034619615,23.670109866071428,7.018787937499999,11.459836964285714
2021-01-07,87,40,172.0250000000001,69,34,124,67,33,123,92,57,142.0250000000001,74,34,133.0250000000001,74,34,134.0250000000001,67,31,125,103,7.642857142857143,16.571428571428573,18.714285714285715,4.3069606508944025,4.480908335838595,4.515124956260645,7.502687142857141,10.636586526785713,11.556052267857142
2021-01-08,63,29,120,75,36.97500000000001,138,61,30,111,89,54,138,46,19.97500000000001,90,45,19,86,41,17,81,99,30.571428571428573,14,47.142857142857146,5.140627086133149,4.43744261879033,7.448971881704794,20.081924026785714,9.679786008928572,37.77900486607143
2021-01-12,101,53,187,76,39,133,77,40,131,84,52,125,67,36,117,68,37,116,66,34,116,89,10.642857142857142,8.428571428571429,21.285714285714285,4.244993517823472,4.243589727049951,4.631874615433913,8.514970785714285,7.774037857142856,13.018711758928573
2021-01-13,46,22,87,72,37,132,70,35,123,77,48,118,55,28,95,54,28,96,57,29,96,91,47,12.428571428571429,36,9.398601068698897,4.2852170799213996,6.410329355610313,39.29836788392857,7.896019017857142,27.43096980357143
2021-01-14,93,49.97500000000001,170,74,38,135.0250000000001,73,36,130.0250000000001,96,63,139,92,50,153,93,52,145,98.5,62,149.0250000000001,98,4.142857142857143,9,4.285714285714286,4.130307281167188,4.232055176134922,4.011845570910447,5.986507330357141,7.261629374999999,5.591292928571427
2021-01-15,81,42,141,72,35,129,75,38,134,85,55,125,81,45,135,85,50,133,97,59,145,91,12,8.714285714285714,10,4.173480525931853,4.202292688450063,4.0390491006382,7.584998785714285,7.1467766785714275,6.518925125
2021-01-19,96,50,166,60,29.97500000000001,108,64,33,117,86,57,125,97,55,165,99,62,152,100,63,152,92,11.857142857142858,12,18,4.237845727301213,4.324669519779809,4.367138695476493,9.155344848214284,8.704092044642856,12.00199283035714
2021-01-20,96,53,165,63,31,116,62,29,116,81,54,116.02500000000009,92,53,150,93,57,140.0250000000001,93,56,147,88,13.428571428571429,12.428571428571429,13.857142857142858,4.225222693316684,4.285072220707009,4.265362613609423,9.632184535714284,8.79039857142857,10.055676875
2021-01-21,79,42,137,62,29,118,60,28,112,72,46,105,69,36,116,76,43,122.02500000000009,71,37,120,88,8,15.857142857142858,11.857142857142858,4.007025032457888,4.360449906285367,4.117559717639153,5.9450522321428565,10.241634785714286,8.014264749999999
2021-01-22,66,33,117,64,29,122,58,26,111,68,41,102,59,29,104,66,33.97500000000001,109,60,30,109,62,16.142857142857142,14.714285714285714,19.142857142857142,4.363716750600214,4.348009190915866,4.67264912820437,10.401795723214285,9.581602785714285,13.15576467857143
2021-01-26,70,36,123,58,26,116.02500000000009,61,28,117,61,37,92,60,30,104,68,36,114,61,29,110,67,9.571428571428571,8.857142857142858,8,4.048780856725323,4.194417018451153,3.983533023506761,7.08655194642857,7.3281538035714275,6.551380366071428
2021-01-27,78,40,134,64,28,127,64,30,122,61,36,92,68,36,117,73,42,118,74,37,128,54,13,7.571428571428571,8.857142857142858,4.121656217539864,4.0263763878009176,3.8896795893215765,9.085513017857142,6.306246651785713,6.5321316964285705
2021-01-28,56,25,104,49,20,104,57,25,112,50,29,79,42,19,78,49,23,85.02500000000009,43,19,86,56,5.714285714285714,8.571428571428571,14.285714285714286,3.8681624352431543,4.004496863442844,4.27450445780371,5.3413309107142855,6.275783526785714,9.284757330357143
2021-01-29,47,21,92,51,21,111,56,23,110,48,27,77.02500000000009,36,15,70,39,17,72,35,15,68,58,14.857142857142858,10.285714285714286,20.571428571428573,4.377930030465705,4.154423251379537,5.140297098995289,9.633226517857143,7.218147008928571,14.607596767857144
2021-02-02,76,41,125,77,39,143,63,30,117,60,35,96,66,31,119,68,33,119,68,34,121,43,23.571428571428573,24.285714285714285,17,4.621776362745976,4.567535308082348,4.166522307575627,15.674119883928569,16.078702803571424,10.834012160714284
2021-02-03,71,37.97500000000001,120,55,25,113,64.5,31,119,57,34,90,58,31,100,58,30,104,56,28,100,52,19,9,9.857142857142858,4.369048729414763,3.90690623384457,3.830437925072113,12.574217178571427,6.635486839285712,6.921052401785714
2021-02-04,51,22,96,47,20,97,62,28.97500000000001,117,47,27,76,38,17,71.02500000000009,35,15,67,35,15,68,31,6,6.857142857142857,8.142857142857142,3.713547544943956,3.776797532974591,3.73449313854767,5.213751348214285,5.407311169642856,5.3483558392857145
2021-02-05,53,25,95,50,21,101,62,30,116,48,27,76,42,20,76,39,18,72,38,17,71,36,8.142857142857142,8.428571428571429,6.285714285714286,3.7258861085939636,3.8129163346216988,3.5359255504866147,6.0840124910714275,6.330736937499999,4.328672919642857
2021-02-09,52,20,109,52,25,93,61,31,105,42,24,68,33,15,63,31,14,59,30,12,59,25,15,12.285714285714286,6,4.125122363698699,4.030578925207821,3.5079147217114297,10.019023499999998,8.540655366071428,4.2126515357142855
2021-02-10,54,22,108.02500000000009,55,27,99,57.5,28,104,42,23,68,39,20,68,36,18,66.02500000000009,37,18,66,28,18.142857142857142,15.571428571428571,7.857142857142857,4.24132360780443,4.140949454466198,3.5484547378858022,11.968051794642856,10.568059937499998,5.383481401785713
2021-02-11,30,12,60,49,22,95,51,24,95,35,19,58,26,11,49,23,10,45,23,9,45,33,4.428571428571429,8.428571428571429,6.428571428571429,3.3844624175132614,3.6405422976997563,3.5335225507488066,3.4706680714285714,5.8963244464285705,4.303807633928571
